UserID,DeviceType,UsageHoursPerDay,EnergyConsumption,UserPreferences,MalfunctionIncidents,DeviceAgeMonths,SmartHomeEfficiency
1834,Thermostat,11.459802970856892,4.864633890065006,1,0,34,1
1835,Lights,8.999152955083506,4.561171908570873,1,3,7,1
1836,Thermostat,3.0474087588406342,4.296607544770282,1,1,28,1
1837,Lights,21.084426021375812,5.141194693935821,0,2,55,0
1838,Smart Speaker,18.90426068215572,9.456000478606574,1,3,28,1
1839,Security System,4.45077529354654,5.5272173506423,0,4,29,0
1840,Lights,12.538123251092122,9.536457628805078,1,2,37,0
1841,Smart Speaker,11.953307986149255,1.884872293094842,1,2,20,1
1842,Lights,15.189651488133425,7.268946190443068,1,0,11,1
1843,Lights,22.73539200879464,8.141171432226598,1,3,50,0
1844,Security System,14.124628881418271,6.823375430215132,1,2,50,0
1845,Camera,13.195105769297538,6.108530574242749,0,4,39,0
1846,Camera,1.6825889239646026,5.691646532753205,1,4,42,0
1847,Lights,1.9783256864235623,8.62321177752909,1,4,23,0
1848,Thermostat,4.902649596179539,8.23430131192855,1,0,52,0
1849,Smart Speaker,1.2630631347560846,1.3106583396879354,0,1,46,0
1850,Thermostat,17.968793045895293,8.501017804605693,1,3,20,1
1851,Thermostat,17.498262143858135,4.199279332460381,1,2,20,1
1852,Lights,3.697321509143609,2.611598616958527,1,3,11,1
1853,Lights,20.1478541686891,8.710708823337866,1,2,2,1
1854,Lights,4.137471818883631,4.377045516374042,0,0,13,0
1855,Lights,7.577626294437932,8.102810432750484,1,3,13,0
1856,Camera,6.350957130292078,2.7076957583628607,0,0,41,0
1857,Lights,9.249216816466625,0.1389002820799562,0,0,49,0
1858,Camera,6.484598498414104,5.005046009739149,0,3,15,0
1859,Camera,11.990346771303624,1.0922597407645542,0,3,56,0
1860,Lights,10.074085211835108,7.568321959696606,1,2,54,0
1861,Security System,23.684383033314173,2.833143847087163,1,4,31,1
1862,Smart Speaker,1.8142692280133037,4.492091901374439,0,0,58,0
1863,Thermostat,3.841262345102763,0.961632294406387,0,1,23,0
1864,Camera,1.7414085068521583,2.937926559627801,0,2,53,0
1865,Smart Speaker,15.20726808208583,7.836753408259862,1,2,22,1
1866,Security System,1.7809680192224102,1.6007203278329627,0,4,54,0
1867,Thermostat,20.156333828338894,6.506879655156878,0,4,16,0
1868,Thermostat,12.530557821025305,9.182515942764562,0,0,57,0
1869,Camera,12.884679177666042,6.830383921601431,0,2,42,0
1870,Lights,13.697470931236564,8.129114723993046,0,2,29,0
1871,Security System,4.514122098195952,1.1788191301087665,1,1,20,1
1872,Camera,5.145722123190457,2.58224507742034,0,0,28,0
1873,Security System,7.99220708751561,8.955934637181851,1,0,27,1
1874,Lights,14.44716577181351,7.179545574819083,1,4,44,0
1875,Lights,5.437767734595042,6.43158288113538,1,0,29,1
1876,Camera,3.233795587631639,6.67129068760483,1,1,5,0
1877,Lights,23.297746830833155,4.20058548761597,1,0,52,1
1878,Smart Speaker,1.0165726480261386,0.5411106530147669,0,3,49,0
1879,Thermostat,19.363389025396508,7.8659712665002175,1,3,42,0
1880,Camera,19.01882601501302,6.8192610385320025,1,1,38,0
1881,Security System,7.484531675359756,4.780764194715975,0,4,53,0
1882,Smart Speaker,3.687225476171865,9.00762019214575,1,2,52,0
1883,Camera,3.92227319757745,3.427980683352479,0,0,38,0
1884,Lights,16.889643005074024,3.013785267889236,0,4,44,0
1885,Lights,15.605954890525082,8.740683618286484,0,4,53,0
1886,Lights,18.89452334490759,7.990177782113956,0,0,51,0
1887,Lights,22.53080755137896,5.198300125418613,0,2,2,0
1888,Security System,16.76029303676491,1.3942739206327148,1,0,45,1
1889,Smart Speaker,4.162511108958921,2.2292075675040195,0,2,54,0
1890,Thermostat,6.220901493987151,6.596657105047186,0,1,20,0
1891,Security System,20.291552675518197,3.911908254620076,1,2,43,1
1892,Security System,5.418692782103902,8.381084597493116,1,4,47,0
1893,Thermostat,2.204274448430313,9.50455459238882,1,1,13,0
1894,Thermostat,17.027081269992888,8.07580556022169,1,3,26,1
1895,Lights,9.95936935401834,3.837699687656016,0,1,35,0
1896,Security System,22.12094123482873,7.907995649391098,1,2,46,0
1897,Camera,15.780994170701046,3.5792725673597663,0,1,8,0
1898,Thermostat,2.624845978104028,1.7542908688797758,1,1,28,1
1899,Thermostat,22.77462933046103,0.4305927281719882,1,3,41,1
1900,Smart Speaker,6.576095695545779,3.918595456334099,1,2,15,1
1901,Camera,8.424493524547715,9.045237106603093,1,4,55,0
1902,Camera,9.95311972156324,2.4659672187811976,1,1,50,1
1903,Thermostat,1.7037709655013615,2.1444803328048616,0,0,8,0
1904,Lights,12.168112422419211,9.7012257738863,0,4,11,0
1905,Smart Speaker,3.397984540269368,0.347540717220862,0,1,29,0
1906,Camera,9.922802677176266,7.879243288898167,1,4,59,0
1907,Thermostat,8.74168001781398,3.2815625618346167,0,0,5,1
1908,Camera,18.66174196052283,0.4711307730096274,1,4,47,1
1909,Smart Speaker,19.37450702336918,9.186245148074878,1,4,47,0
1910,Smart Speaker,4.105202736143568,1.4824590690748778,0,0,59,0
1911,Security System,9.113952903411816,5.562614908884385,0,0,58,0
1912,Thermostat,9.273799284248044,2.8131366535525237,1,0,7,1
1913,Smart Speaker,4.058145432497999,0.7454087416284413,1,3,53,0
1914,Security System,19.263657368702976,0.594232608067453,0,0,18,1
1915,Security System,17.119865715882447,1.244011318479754,1,4,28,1
1916,Camera,4.973971977980316,0.8065334375048625,0,0,12,0
1917,Camera,9.117964851954278,7.629525343647237,0,1,12,0
1918,Security System,2.986418084128084,4.907105402605948,1,0,36,1
1919,Camera,15.262855031686533,3.4946317043549,1,0,29,1
1920,Smart Speaker,3.352240226892562,4.24185221030687,1,2,11,1
